POS_tagged_sentence,Logical_expression,Natural_sentence,Manchester_syntax
carnivor/NN are/VBP also/RB animal/NN that/WDT eat/VBZ only/RB animal/NN ./. <EOS>/<EOS>,carnivor := animal ^ A eat . ( animal ) <EOS>,carnivor are also animal that eat only animal.,carnivor EquivalentTo animal and some eat animal
herbivor/NN are/VBP animal/NN ./. <EOS>/<EOS>,herbivor := animal <EOS>,herbivor are animal.,herbivor EquivalentTo animal
a/DT herbivor/NN is/VBZ a/DT animal/NN that/WDT eat/VBZ only/RB plant/NN ./. <EOS>/<EOS>,herbivor := animal ^ A eat . ( plant ) <EOS>,a herbivor is a animal that eat only plant.,herbivor EquivalentTo animal and some eat plant
every/DT herbivor/NN is/VBZ also/RB a/DT animal/NN that/WDT eat/VBZ only/RB plant/NN ./. <EOS>/<EOS>,herbivor := animal ^ A eat . ( plant ) <EOS>,every herbivor is also a animal that eat only plant.,herbivor EquivalentTo animal and some eat plant
every/DT mammal/NN is/VBZ also/RB a/DT animal/NN ./. <EOS>/<EOS>,mammal := animal <EOS>,every mammal is also a animal.,mammal EquivalentTo animal
every/DT mammal/NN is/VBZ also/RB a/DT animal/NN that/WDT brestfeed/VB puppy/NN ./. <EOS>/<EOS>,mammal := animal ^ E brestfeed . ( puppy ) <EOS>,every mammal is also a animal that brestfeed puppy.,mammal EquivalentTo animal and some brestfeed puppy
mammal/NN are/VBP also/RB animal/NN that/WDT brestfeed/VB puppy/NN ./. <EOS>/<EOS>,mammal := animal ^ E brestfeed . ( puppy ) <EOS>,mammal are also animal that brestfeed puppy.,mammal EquivalentTo animal and some brestfeed puppy
all/DT mammal/NN are/VBP animal/NN that/WDT brestfeed/VB puppy/NN ./. <EOS>/<EOS>,mammal := animal ^ E brestfeed . ( puppy ) <EOS>,all mammal are animal that brestfeed puppy.,mammal EquivalentTo animal and some brestfeed puppy
all/DT insect/NN are/VBP also/RB small/JJ animal/NN ./. <EOS>/<EOS>,insect := small animal <EOS>,all insect are also small animal.,insect EquivalentTo small animal
every/DT dolphin/NN is/VBZ also/RB a/DT acquatic/JJ mammal/NN ./. <EOS>/<EOS>,dolphin := acquatic mammal <EOS>,every dolphin is also a acquatic mammal.,dolphin EquivalentTo acquatic mammal
dolphin/NN are/VBP acquatic/JJ mammal/NN that/WDT live/VB in/IN the/DT sea/NN ./. <EOS>/<EOS>,dolphin := acquatic mammal ^ E live in . ( sea ) <EOS>,dolphin are acquatic mammal that live in the sea.,dolphin EquivalentTo acquatic mammal and some live in sea
all/DT dolphin/NN are/VBP acquatic/JJ mammal/NN that/DT have/VB a/DT long/JJ muzzle/NN ./. <EOS>/<EOS>,dolphin := acquatic mammal ^ have long muzzle . ( T ) <EOS>,all dolphin are acquatic mammal that have a long muzzle.,dolphin EquivalentTo acquatic mammal and have long muzzle
cow/NN are/VBP also/RB herbivor/NN ./. <EOS>/<EOS>,cow := herbivor <EOS>,cow are also herbivor.,cow EquivalentTo herbivor
cow/NN are/VBP also/RB herbivor/NN that/WDT produce/VB milk/NN ./. <EOS>/<EOS>,cow := herbivor ^ E produce . ( milk ) <EOS>,cow are also herbivor that produce milk.,cow EquivalentTo herbivor and some produce milk
cow/NN are/VBP mammal/NN ./. <EOS>/<EOS>,cow := mammal <EOS>,cow are mammal.,cow EquivalentTo mammal
every/DT cow/NN is/VBZ a/DT mammal/NN that/DT have/VB NUM/CD long/JJ horn/NN ./. <EOS>/<EOS>,cow := mammal ^ = NUM have long horn . ( T ) <EOS>,every cow is a mammal that have NUM long horn.,cow EquivalentTo mammal and NUM have long horn
cow/NN are/VBP also/RB mammal/NN that/DT have/VB NUM/CD long/JJ horn/NN ./. <EOS>/<EOS>,cow := mammal ^ = NUM have long horn . ( T ) <EOS>,cow are also mammal that have NUM long horn.,cow EquivalentTo mammal and NUM have long horn
lion/NN are/VBP a/DT type/NN of/IN carnivor/NN ./. <EOS>/<EOS>,lion := carnivor <EOS>,lion are a type of carnivor.,lion EquivalentTo carnivor
every/DT lion/NN is/VBZ a/DT carnivor/NN that/WDT live/VB in/IN africa/NN ./. <EOS>/<EOS>,lion := carnivor ^ E live in . ( africa ) <EOS>,every lion is a carnivor that live in africa.,lion EquivalentTo carnivor and some live in africa
lion/NN are/VBP also/RB carnivor/NN that/WDT live/VB in/IN africa/NN ./. <EOS>/<EOS>,lion := carnivor ^ E live in . ( africa ) <EOS>,lion are also carnivor that live in africa.,lion EquivalentTo carnivor and some live in africa
every/DT lion/NN is/VBZ also/RB a/DT carnivor/NN that/WDT hunt/VB the/DT gazelle/NN ./. <EOS>/<EOS>,lion := carnivor ^ E hunt . ( gazelle ) <EOS>,every lion is also a carnivor that hunt the gazelle.,lion EquivalentTo carnivor and some hunt gazelle
lion/NN are/VBP also/RB carnivor/NN that/WDT hunt/VB gazelle/NN ./. <EOS>/<EOS>,lion := carnivor ^ E hunt . ( gazelle ) <EOS>,lion are also carnivor that hunt gazelle.,lion EquivalentTo carnivor and some hunt gazelle
all/DT lion/NN are/VBP also/RB carnivor/NN that/WDT hunt/VB the/DT gazelle/NN ./. <EOS>/<EOS>,lion := carnivor ^ E hunt . ( gazelle ) <EOS>,all lion are also carnivor that hunt the gazelle.,lion EquivalentTo carnivor and some hunt gazelle
all/DT lion/NN are/VBP mammal/NN ./. <EOS>/<EOS>,lion := mammal <EOS>,all lion are mammal.,lion EquivalentTo mammal
all/DT lion/NN are/VBP also/RB mammal/NN that/DT have/VB long/JJ hair/NN ./. <EOS>/<EOS>,lion := mammal ^ have long hair . ( T ) <EOS>,all lion are also mammal that have long hair.,lion EquivalentTo mammal and have long hair
every/DT lion/NN is/VBZ a/DT mammal/NN that/DT have/VB a/DT long/JJ hair/NN ./. <EOS>/<EOS>,lion := mammal ^ have long hair . ( T ) <EOS>,every lion is a mammal that have a long hair.,lion EquivalentTo mammal and have long hair
lion/NN are/VBP mammal/NN that/DT have/VB a/DT long/JJ hair/NN ./. <EOS>/<EOS>,lion := mammal ^ have long hair . ( T ) <EOS>,lion are mammal that have a long hair.,lion EquivalentTo mammal and have long hair
the/DT male/JJ lion/NN have/VB more/JJR than/IN NUM/CD female/JJ mate/NN ./. <EOS>/<EOS>,male lion := >= NUM have female mate . ( T ) <EOS>,the male lion have more than NUM female mate.,male lion EquivalentTo NUM have female mate
theE/DT male/JJ lion/NN have/VB at/IN least/JJS NUM/CD female/JJ mate/NN ./. <EOS>/<EOS>,male lion := >= NUM have female mate . ( T ) <EOS>,theE male lion have at least NUM female mate.,male lion EquivalentTo NUM have female mate
the/DT male/JJ lion/NN have/VB not/RB less/JJR than/IN NUM/CD female/JJ mate/NN ./. <EOS>/<EOS>,male lion := >= NUM have female mate . ( T ) <EOS>,the male lion have not less than NUM female mate.,male lion EquivalentTo NUM have female mate
a/DT male/JJ lion/NN have/VB not/RB less/JJR than/IN NUM/CD female/JJ mate/NN ./. <EOS>/<EOS>,male lion := >= NUM have female mate . ( T ) <EOS>,a male lion have not less than NUM female mate.,male lion EquivalentTo NUM have female mate
male/JJ lion/NN have/VB not/RB less/JJR than/IN NUM/CD female/JJ mate/NN ./. <EOS>/<EOS>,male lion := >= NUM have female mate . ( T ) <EOS>,male lion have not less than NUM female mate.,male lion EquivalentTo NUM have female mate
tiger/NN are/VBP carnivor/NN ./. <EOS>/<EOS>,tiger := carnivor <EOS>,tiger are carnivor.,tiger EquivalentTo carnivor
all/DT tiger/NN are/VBP carnivor/NN that/WDT live/VB in/IN asia/NN ./. <EOS>/<EOS>,tiger := carnivor ^ E live in . ( asia ) <EOS>,all tiger are carnivor that live in asia.,tiger EquivalentTo carnivor and some live in asia
every/DT tiger/NN is/VBZ also/RB a/DT mammal/NN ./. <EOS>/<EOS>,tiger := mammal <EOS>,every tiger is also a mammal.,tiger EquivalentTo mammal
every/DT tiger/NN is/VBZ also/RB a/DT large/JJ feline/NN that/DT have/VB black/JJ stripe/NN ./. <EOS>/<EOS>,tiger := large feline ^ E have black stripe . ( T ) <EOS>,every tiger is also a large feline that have black stripe.,tiger EquivalentTo large feline and some have black stripe
tiger/NN are/VBP a/DT type/NN of/IN large/JJ feline/NN that/DT have/VB black/JJ stripe/NN ./. <EOS>/<EOS>,tiger := large feline ^ E have black stripe . ( T ) <EOS>,tiger are a type of large feline that have black stripe.,tiger EquivalentTo large feline and some have black stripe
female/JJ tiger/NN have/VB at/IN most/JJS NUM/CD male/JJ mate/NN ./. <EOS>/<EOS>,female tiger := <= NUM have male mate . ( T ) <EOS>,female tiger have at most NUM male mate.,female tiger EquivalentTo NUM have male mate
female/JJ tiger/NN have/VB at/IN most/JJS NUM/CD male/JJ mate/NN ./. <EOS>/<EOS>,female tiger := <= NUM have male mate . ( T ) <EOS>,female tiger have at most NUM male mate.,female tiger EquivalentTo NUM have male mate
gazelle/NN are/VBP also/RB herbivor/NN ./. <EOS>/<EOS>,gazelle := herbivor <EOS>,gazelle are also herbivor.,gazelle EquivalentTo herbivor
every/DT gazelle/NN is/VBZ also/RB a/DT fast/JJ herbivor/NN that/WDT live/VB in/IN africa/NN ./. <EOS>/<EOS>,gazelle := fast herbivor ^ E live in . ( africa ) <EOS>,every gazelle is also a fast herbivor that live in africa.,gazelle EquivalentTo fast herbivor and some live in africa
all/DT gazelle/NN are/VBP also/RB fast/JJ herbivor/NN that/WDT live/VB in/IN africa/NN ./. <EOS>/<EOS>,gazelle := fast herbivor ^ E live in . ( africa ) <EOS>,all gazelle are also fast herbivor that live in africa.,gazelle EquivalentTo fast herbivor and some live in africa
every/DT gazelle/NN is/VBZ also/RB a/DT mammal/NN that/WDT is/VBZ chased/VBD by/IN lion/NN ./. <EOS>/<EOS>,gazelle := mammal ^ E chased by . ( lion ) <EOS>,every gazelle is also a mammal that is chased by lion.,gazelle EquivalentTo mammal and some chased by lion
all/DT gazelle/NN are/VBP mammal/NN that/WDT are/VBD chased/VBD by/IN lion/NN ./. <EOS>/<EOS>,gazelle := mammal ^ E chased by . ( lion ) <EOS>,all gazelle are mammal that are chased by lion.,gazelle EquivalentTo mammal and some chased by lion
gazelle/NN are/VBP mammal/NN that/WDT are/VBD chased/VBD by/IN the/DT lion/NN ./. <EOS>/<EOS>,gazelle := mammal ^ E chased by . ( lion ) <EOS>,gazelle are mammal that are chased by the lion.,gazelle EquivalentTo mammal and some chased by lion
gazelle/NN are/VBP also/RB mammal/NN that/WDT are/VBD chased/VBD by/IN the/DT lion/NN ./. <EOS>/<EOS>,gazelle := mammal ^ E chased by . ( lion ) <EOS>,gazelle are also mammal that are chased by the lion.,gazelle EquivalentTo mammal and some chased by lion
giraffe/NN are/VBP also/RB herbivor/NN ./. <EOS>/<EOS>,giraffe := herbivor <EOS>,giraffe are also herbivor.,giraffe EquivalentTo herbivor
all/DT giraffe/NN are/VBP herbivor/NN that/WDT live/VB in/IN africa/NN ./. <EOS>/<EOS>,giraffe := herbivor ^ E live in . ( africa ) <EOS>,all giraffe are herbivor that live in africa.,giraffe EquivalentTo herbivor and some live in africa
every/DT giraffe/NN is/VBZ also/RB a/DT mammal/NN that/DT have/VB a/DT long/JJ neck/NN ./. <EOS>/<EOS>,giraffe := mammal ^ have long neck . ( T ) <EOS>,every giraffe is also a mammal that have a long neck.,giraffe EquivalentTo mammal and have long neck
giraffe/NN are/VBP a/DT type/NN of/IN mammal/NN that/DT have/VB a/DT long/JJ neck/NN ./. <EOS>/<EOS>,giraffe := mammal ^ have long neck . ( T ) <EOS>,giraffe are a type of mammal that have a long neck.,giraffe EquivalentTo mammal and have long neck
all/DT pachyderm/NN are/VBP also/RB large/JJ animal/NN ./. <EOS>/<EOS>,pachyderm := large animal <EOS>,all pachyderm are also large animal.,pachyderm EquivalentTo large animal
all/DT elephant/NN are/VBP pachyderm/NN ./. <EOS>/<EOS>,elephant := pachyderm <EOS>,all elephant are pachyderm.,elephant EquivalentTo pachyderm
a/DT elephant/NN is/VBZ a/DT pachyderm/NN that/WDT live/VB in/IN africa/NN or/CC asia/NN ./. <EOS>/<EOS>,elephant := pachyderm ^ E live in . ( africa U asia ) <EOS>,a elephant is a pachyderm that live in africa or asia.,elephant EquivalentTo pachyderm and some live in africa or asia
every/DT elephant/NN is/VBZ a/DT pachyderm/NN that/WDT live/VB in/IN africa/NN or/CC asia/NN ./. <EOS>/<EOS>,elephant := pachyderm ^ E live in . ( africa U asia ) <EOS>,every elephant is a pachyderm that live in africa or asia.,elephant EquivalentTo pachyderm and some live in africa or asia
elephant/NN are/VBP mammal/NN that/DT have/VB big/JJ trunk/NN ./. <EOS>/<EOS>,elephant := mammal ^ have big trunk . ( T ) <EOS>,elephant are mammal that have big trunk.,elephant EquivalentTo mammal and have big trunk
a/DT elephant/NN is/VBZ also/RB a/DT mammal/NN that/DT have/VB a/DT big/JJ trunk/NN ./. <EOS>/<EOS>,elephant := mammal ^ have big trunk . ( T ) <EOS>,a elephant is also a mammal that have a big trunk.,elephant EquivalentTo mammal and have big trunk
elephant/NN are/VBP also/RB mammal/NN that/DT have/VB a/DT big/JJ trunk/NN ./. <EOS>/<EOS>,elephant := mammal ^ have big trunk . ( T ) <EOS>,elephant are also mammal that have a big trunk.,elephant EquivalentTo mammal and have big trunk
elephant/NN are/VBP pachyderm/NN that/DT have/VB exactly/RB NUM/CD large/JJ ear/NN ./. <EOS>/<EOS>,elephant := pachyderm ^ = NUM have large ear . ( T ) <EOS>,elephant are pachyderm that have exactly NUM large ear.,elephant EquivalentTo pachyderm and NUM have large ear
all/DT elephant/NN are/VBP also/RB pachyderm/NN that/DT have/VB exactly/RB NUM/CD large/JJ ear/NN ./. <EOS>/<EOS>,elephant := pachyderm ^ = NUM have large ear . ( T ) <EOS>,all elephant are also pachyderm that have exactly NUM large ear.,elephant EquivalentTo pachyderm and NUM have large ear
every/DT elephant/NN is/VBZ also/RB a/DT pachyderm/NN that/DT have/VB NUM/CD large/JJ ear/NN ./. <EOS>/<EOS>,elephant := pachyderm ^ = NUM have large ear . ( T ) <EOS>,every elephant is also a pachyderm that have NUM large ear.,elephant EquivalentTo pachyderm and NUM have large ear
all/DT elephant/NN are/VBP pachyderm/NN that/DT have/VB NUM/CD large/JJ ear/NN ./. <EOS>/<EOS>,elephant := pachyderm ^ = NUM have large ear . ( T ) <EOS>,all elephant are pachyderm that have NUM large ear.,elephant EquivalentTo pachyderm and NUM have large ear
rhinoceros/NN are/VBP a/DT type/NN of/IN pachyderm/NN ./. <EOS>/<EOS>,rhinoceros := pachyderm <EOS>,rhinoceros are a type of pachyderm.,rhinoceros EquivalentTo pachyderm
rhinoceros/NN are/VBP also/RB pachyderm/NN that/WDT live/VB in/IN africa/NN ./. <EOS>/<EOS>,rhinoceros := pachyderm ^ E live in . ( africa ) <EOS>,rhinoceros are also pachyderm that live in africa.,rhinoceros EquivalentTo pachyderm and some live in africa
all/DT rhinoceros/NN are/VBP pachyderm/NN that/WDT live/VB in/IN africa/NN ./. <EOS>/<EOS>,rhinoceros := pachyderm ^ E live in . ( africa ) <EOS>,all rhinoceros are pachyderm that live in africa.,rhinoceros EquivalentTo pachyderm and some live in africa
a/DT rhinoceros/NN is/VBZ a/DT mammal/NN that/DT have/VB exactly/RB NUM/CD horn/NN ./. <EOS>/<EOS>,rhinoceros := mammal ^ = NUM have horn . ( T ) <EOS>,a rhinoceros is a mammal that have exactly NUM horn.,rhinoceros EquivalentTo mammal and NUM have horn
every/DT rhinoceros/NN is/VBZ a/DT mammal/NN that/DT have/VB exactly/RB NUM/CD horn/NN ./. <EOS>/<EOS>,rhinoceros := mammal ^ = NUM have horn . ( T ) <EOS>,every rhinoceros is a mammal that have exactly NUM horn.,rhinoceros EquivalentTo mammal and NUM have horn
every/DT rhinoceros/NN is/VBZ also/RB a/DT mammal/NN that/DT have/VB exactly/RB NUM/CD horn/NN ./. <EOS>/<EOS>,rhinoceros := mammal ^ = NUM have horn . ( T ) <EOS>,every rhinoceros is also a mammal that have exactly NUM horn.,rhinoceros EquivalentTo mammal and NUM have horn
rhinoceros/NN are/VBP a/DT type/NN of/IN mammal/NN that/DT have/VB NUM/CD horn/NN ./. <EOS>/<EOS>,rhinoceros := mammal ^ = NUM have horn . ( T ) <EOS>,rhinoceros are a type of mammal that have NUM horn.,rhinoceros EquivalentTo mammal and NUM have horn
a/DT cat/NN is/VBZ a/DT animal/NN that/WDT is/VBZ chased/VBD by/IN dog/NN ./. <EOS>/<EOS>,cat := animal ^ E chased by . ( dog ) <EOS>,a cat is a animal that is chased by dog.,cat EquivalentTo animal and some chased by dog
a/DT cat/NN is/VBZ also/RB a/DT animal/NN that/WDT is/VBZ chased/VBD by/IN dog/NN ./. <EOS>/<EOS>,cat := animal ^ E chased by . ( dog ) <EOS>,a cat is also a animal that is chased by dog.,cat EquivalentTo animal and some chased by dog
a/DT cat/NN is/VBZ also/RB a/DT animal/NN that/WDT is/VBZ chased/VBD by/IN the/DT dog/NN ./. <EOS>/<EOS>,cat := animal ^ E chased by . ( dog ) <EOS>,a cat is also a animal that is chased by the dog.,cat EquivalentTo animal and some chased by dog
all/DT cat/NN are/VBP animal/NN that/WDT are/VBD chased/VBD by/IN dog/NN ./. <EOS>/<EOS>,cat := animal ^ E chased by . ( dog ) <EOS>,all cat are animal that are chased by dog.,cat EquivalentTo animal and some chased by dog
cat/NN are/VBP also/RB animal/NN that/WDT are/VBD chased/VBD by/IN a/DT dog/NN ./. <EOS>/<EOS>,cat := animal ^ E chased by . ( dog ) <EOS>,cat are also animal that are chased by a dog.,cat EquivalentTo animal and some chased by dog
all/DT cat/NN are/VBP mammal/NN that/WDT chase/VB mouse/NN ./. <EOS>/<EOS>,cat := mammal ^ E chase . ( mouse ) <EOS>,all cat are mammal that chase mouse.,cat EquivalentTo mammal and some chase mouse
all/DT cat/NN are/VBP also/RB mammal/NN that/WDT chase/VB mouse/NN ./. <EOS>/<EOS>,cat := mammal ^ E chase . ( mouse ) <EOS>,all cat are also mammal that chase mouse.,cat EquivalentTo mammal and some chase mouse
cat/NN are/VBP a/DT type/NN of/IN mammal/NN that/WDT chase/VB a/DT mouse/NN ./. <EOS>/<EOS>,cat := mammal ^ E chase . ( mouse ) <EOS>,cat are a type of mammal that chase a mouse.,cat EquivalentTo mammal and some chase mouse
cat/NN are/VBP also/RB mammal/NN that/WDT chase/VB the/DT mouse/NN ./. <EOS>/<EOS>,cat := mammal ^ E chase . ( mouse ) <EOS>,cat are also mammal that chase the mouse.,cat EquivalentTo mammal and some chase mouse
cat/NN are/VBP a/DT type/NN of/IN mammal/NN that/WDT chase/VB the/DT mouse/NN ./. <EOS>/<EOS>,cat := mammal ^ E chase . ( mouse ) <EOS>,cat are a type of mammal that chase the mouse.,cat EquivalentTo mammal and some chase mouse
dog/NN are/VBP a/DT type/NN of/IN animal/NN ./. <EOS>/<EOS>,dog := animal <EOS>,dog are a type of animal.,dog EquivalentTo animal
all/DT mouse/NN are/VBP also/RB small/JJ animal/NN ./. <EOS>/<EOS>,mouse := small animal <EOS>,all mouse are also small animal.,mouse EquivalentTo small animal
a/DT mouse/NN is/VBZ a/DT animal/NN that/WDT is/VBZ chased/VBD only/RB by/IN cat/NN ./. <EOS>/<EOS>,mouse := animal ^ A chased by . ( cat ) <EOS>,a mouse is a animal that is chased only by cat.,mouse EquivalentTo animal and some chased by cat
every/DT mouse/NN is/VBZ also/RB a/DT animal/NN that/WDT is/VBZ chased/VBD only/RB by/IN cat/NN ./. <EOS>/<EOS>,mouse := animal ^ A chased by . ( cat ) <EOS>,every mouse is also a animal that is chased only by cat.,mouse EquivalentTo animal and some chased by cat
every/DT mouse/NN is/VBZ also/RB a/DT animal/NN that/WDT is/VBZ chased/VBD only/RB by/IN the/DT cat/NN ./. <EOS>/<EOS>,mouse := animal ^ A chased by . ( cat ) <EOS>,every mouse is also a animal that is chased only by the cat.,mouse EquivalentTo animal and some chased by cat
mouse/NN are/VBP also/RB animal/NN that/WDT are/VBD chased/VBD only/RB by/IN cat/NN ./. <EOS>/<EOS>,mouse := animal ^ A chased by . ( cat ) <EOS>,mouse are also animal that are chased only by cat.,mouse EquivalentTo animal and some chased by cat
all/DT mouse/NN are/VBP also/RB animal/NN that/WDT are/VBD chased/VBD only/RB by/IN the/DT cat/NN ./. <EOS>/<EOS>,mouse := animal ^ A chased by . ( cat ) <EOS>,all mouse are also animal that are chased only by the cat.,mouse EquivalentTo animal and some chased by cat
a/DT bee/NN is/VBZ also/RB a/DT insect/NN that/WDT produce/VB honey/NN ./. <EOS>/<EOS>,bee := insect ^ E produce . ( honey ) <EOS>,a bee is also a insect that produce honey.,bee EquivalentTo insect and some produce honey
bee/NN are/VBP also/RB insect/NN that/WDT live/VB in/IN hive/NN ./. <EOS>/<EOS>,bee := insect ^ E live in . ( hive ) <EOS>,bee are also insect that live in hive.,bee EquivalentTo insect and some live in hive
bee/NN are/VBP insect/NN that/WDT live/VB in/IN the/DT hive/NN ./. <EOS>/<EOS>,bee := insect ^ E live in . ( hive ) <EOS>,bee are insect that live in the hive.,bee EquivalentTo insect and some live in hive
bee/NN are/VBP also/RB insect/NN that/WDT live/VB in/IN the/DT hive/NN ./. <EOS>/<EOS>,bee := insect ^ E live in . ( hive ) <EOS>,bee are also insect that live in the hive.,bee EquivalentTo insect and some live in hive
all/DT bee/NN are/VBP also/RB insect/NN that/DT have/VB NUM/CD leg/NN ./. <EOS>/<EOS>,bee := insect ^ = NUM have leg . ( T ) <EOS>,all bee are also insect that have NUM leg.,bee EquivalentTo insect and NUM have leg
a/DT bee/NN have/VB black/JJ stripe/NN ./. <EOS>/<EOS>,bee := E have black stripe . ( T ) <EOS>,a bee have black stripe.,bee EquivalentTo some have black stripe
vehicle/NN are/VBP mean/NN of/IN transportation/NN ./. <EOS>/<EOS>,vehicle := mean of transportation <EOS>,vehicle are mean of transportation.,vehicle EquivalentTo mean of transportation
every/DT bycicle/NN is/VBZ a/DT vehicle/NN ./. <EOS>/<EOS>,bycicle := vehicle <EOS>,every bycicle is a vehicle.,bycicle EquivalentTo vehicle
bycicle/NN are/VBP a/DT type/NN of/IN vehicle/NN that/DT have/VB NUM/CD weel/NN ./. <EOS>/<EOS>,bycicle := vehicle ^ = NUM have weel . ( T ) <EOS>,bycicle are a type of vehicle that have NUM weel.,bycicle EquivalentTo vehicle and NUM have weel
a/DT bycicle/NN is/VBZ a/DT mean/NN of/IN transportation/NN that/WDT is/VBZ powered/VBD only/RB by/IN the/DT human/JJ power/NN ./. <EOS>/<EOS>,bycicle := mean of transportation ^ A powered by . ( human power ) <EOS>,a bycicle is a mean of transportation that is powered only by the human power.,bycicle EquivalentTo mean of transportation and some powered by human power
bycicle/NN are/VBP mean/NN of/IN transportation/NN that/WDT are/VBP powered/VBD only/RB by/IN human/JJ power/NN ./. <EOS>/<EOS>,bycicle := mean of transportation ^ A powered by . ( human power ) <EOS>,bycicle are mean of transportation that are powered only by human power.,bycicle EquivalentTo mean of transportation and some powered by human power
bycicle/NN are/VBP a/DT type/NN of/IN mean/NN of/IN transportation/NN that/WDT are/VBP powered/VBD only/RB by/IN human/JJ power/NN ./. <EOS>/<EOS>,bycicle := mean of transportation ^ A powered by . ( human power ) <EOS>,bycicle are a type of mean of transportation that are powered only by human power.,bycicle EquivalentTo mean of transportation and some powered by human power
all/DT bycicle/NN are/VBP mean/NN of/IN transportation/NN that/WDT are/VBP powered/VBD only/RB by/IN the/DT human/JJ power/NN ./. <EOS>/<EOS>,bycicle := mean of transportation ^ A powered by . ( human power ) <EOS>,all bycicle are mean of transportation that are powered only by the human power.,bycicle EquivalentTo mean of transportation and some powered by human power
weel/NN are/VBP part/NN of/IN the/DT bycicle/NN ./. <EOS>/<EOS>,weel := E part of . ( bycicle ) <EOS>,weel are part of the bycicle.,weel EquivalentTo some part of bycicle
frame/NN are/VBP part/NN of/IN the/DT bycicle/NN ./. <EOS>/<EOS>,frame := E part of . ( bycicle ) <EOS>,frame are part of the bycicle.,frame EquivalentTo some part of bycicle
handle/NN bar/NN are/VBP part/NN of/IN bycicle/NN ./. <EOS>/<EOS>,handle bar := E part of . ( bycicle ) <EOS>,handle bar are part of bycicle.,handle bar EquivalentTo some part of bycicle
car/NN are/VBP vehicle/NN ./. <EOS>/<EOS>,car := vehicle <EOS>,car are vehicle.,car EquivalentTo vehicle
car/NN are/VBP mean/NN of/IN transportation/NN that/WDT are/VBP powered/VBD by/IN fuel/NN or/CC electric/JJ energy/NN ./. <EOS>/<EOS>,car := mean of transportation ^ E powered by . ( fuel U electric energy ) <EOS>,car are mean of transportation that are powered by fuel or electric energy.,car EquivalentTo mean of transportation and some powered by fuel or electric energy
a/DT engine/NN is/VBZ also/DT a/DT complex/JJ system/NN that/DT is/VBZ part/NN of/IN car/NN ./. <EOS>/<EOS>,engine := complex system ^ E part of . ( car ) <EOS>,a engine is also a complex system that is part of car.,engine EquivalentTo complex system and some part of car
a/DT engine/NN is/VBZ a/DT complex/JJ system/NN that/DT is/VBZ part/NN of/IN a/DT car/NN ./. <EOS>/<EOS>,engine := complex system ^ E part of . ( car ) <EOS>,a engine is a complex system that is part of a car.,engine EquivalentTo complex system and some part of car
engine/NN are/VBP complex/JJ system/NN that/DT are/VBP part/NN of/IN a/DT car/NN ./. <EOS>/<EOS>,engine := complex system ^ E part of . ( car ) <EOS>,engine are complex system that are part of a car.,engine EquivalentTo complex system and some part of car
engine/NN are/VBP complex/JJ system/NN that/DT are/VBP part/NN of/IN the/DT car/NN ./. <EOS>/<EOS>,engine := complex system ^ E part of . ( car ) <EOS>,engine are complex system that are part of the car.,engine EquivalentTo complex system and some part of car
engine/NN are/VBP also/DT complex/JJ system/NN that/DT are/VBP part/NN of/IN the/DT car/NN ./. <EOS>/<EOS>,engine := complex system ^ E part of . ( car ) <EOS>,engine are also complex system that are part of the car.,engine EquivalentTo complex system and some part of car
all/DT engine/NN are/VBP complex/JJ system/NN that/DT are/VBP part/NN of/IN the/DT car/NN ./. <EOS>/<EOS>,engine := complex system ^ E part of . ( car ) <EOS>,all engine are complex system that are part of the car.,engine EquivalentTo complex system and some part of car
gear/NN are/VBP part/NN of/IN engine/NN ./. <EOS>/<EOS>,gear := E part of . ( engine ) <EOS>,gear are part of engine.,gear EquivalentTo some part of engine
steering/VBG weel/NN are/VBP part/NN of/IN car/NN ./. <EOS>/<EOS>,steering weel := E part of . ( car ) <EOS>,steering weel are part of car.,steering weel EquivalentTo some part of car
motorcycle/NN are/VBP vehicle/NN ./. <EOS>/<EOS>,motorcycle := vehicle <EOS>,motorcycle are vehicle.,motorcycle EquivalentTo vehicle
weel/NN are/VBP part/NN of/IN the/DT motorcycle/NN ./. <EOS>/<EOS>,weel := E part of . ( motorcycle ) <EOS>,weel are part of the motorcycle.,weel EquivalentTo some part of motorcycle
engine/NN are/VBP also/DT complex/JJ energy/NN production/NN system/NN that/DT are/VBP part/NN of/IN motorcycle/NN ./. <EOS>/<EOS>,engine := complex energy production system ^ E part of . ( motorcycle ) <EOS>,engine are also complex energy production system that are part of motorcycle.,engine EquivalentTo complex energy production system and some part of motorcycle
a/DT engine/NN is/VBZ a/DT complex/JJ energy/NN production/NN system/NN that/DT is/VBZ part/NN of/IN a/DT motorcycle/NN ./. <EOS>/<EOS>,engine := complex energy production system ^ E part of . ( motorcycle ) <EOS>,a engine is a complex energy production system that is part of a motorcycle.,engine EquivalentTo complex energy production system and some part of motorcycle
every/DT engine/NN is/VBZ also/DT a/DT complex/JJ energy/NN production/NN system/NN that/DT is/VBZ part/NN of/IN a/DT motorcycle/NN ./. <EOS>/<EOS>,engine := complex energy production system ^ E part of . ( motorcycle ) <EOS>,every engine is also a complex energy production system that is part of a motorcycle.,engine EquivalentTo complex energy production system and some part of motorcycle
